participant_id	ant_corr	ant_incorr	ant_RT	alerting-code	cued-code	congruency-code
sub-pp001	1.0	0.0	371.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	516.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	351.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	339.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	371.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	503.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	439.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	502.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	491.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	481.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	505.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	499.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	527.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	469.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	416.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	460.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	369.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	424.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	376.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	312.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	403.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	390.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	599.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	413.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	328.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	292.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	274.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	299.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	391.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	402.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	562.0	1.0	0.0	1.0
